Field Name,Field Key,Type,Custom Type,Hits (Sampled),Projects Using,Project List,Is Global,Context Count,Status
Technology: What development process was used to develop the system?,customfield_16067,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,8,1,ENG,True,1,Low Usage
Technical access and security: Who can access the information or the system?,customfield_16066,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,8,1,ENG,True,1,Low Usage
"Individual access, redress and correction: How can individuals access their information?",customfield_16065,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,8,1,ENG,True,1,Low Usage
Uses of the information: use of information and tools to analyze data.,customfield_16060,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,8,1,ENG,True,1,Low Usage
Mongo DB Environment (Multi),customfield_16676,array,com.atlassian.jira.plugin.system.customfieldtypes:multiselect,8,1,ENG,True,1,Low Usage
Documents,customfield_20196,string,com.atlassian.jira.plugin.system.customfieldtypes:url,7,1,SPRDMP,True,0,Low Usage
Priority,customfield_22960,option,com.atlassian.jira.plugin.system.customfieldtypes:select,7,1,PT,True,0,Low Usage
Who is submitting the form?,customfield_20794,array,com.atlassian.jira.plugin.system.customfieldtypes:people,6,1,JID26,True,0,Low Usage
Project Name,customfield_20795,string,com.atlassian.jira.plugin.system.customfieldtypes:textfield,6,1,JID26,True,0,Low Usage
Current Tenant for Configuration,customfield_22958,option,com.atlassian.jira.plugin.system.customfieldtypes:select,6,1,PT,True,0,Low Usage
"Select YES or No, this project will/might need legal review",customfield_20970,array,com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes,6,1,JID26,True,0,Low Usage
Strategic Alignment,customfield_20796,option,com.atlassian.jira.plugin.system.customfieldtypes:select,6,1,JID26,True,0,Low Usage
Project Request Type,customfield_20797,option,com.atlassian.jira.plugin.system.customfieldtypes:select,6,1,JID26,True,0,Low Usage
Estimated End Date,customfield_16822,string,jira.polaris:interval,6,1,ABAHS,True,0,Low Usage
Initiative Definition and Business Requirements,customfield_21375,string,com.atlassian.jira.plugin.system.customfieldtypes:textarea,6,1,JID26,True,0,Low Usage
Projected Benefits & Outcome,customfield_21374,string,com.atlassian.jira.plugin.system.customfieldtypes:textarea,6,1,JID26,True,0,Low Usage
Project Phase,customfield_21073,option,com.atlassian.jira.plugin.system.customfieldtypes:select,5,1,PMO,False,1,Low Usage
Unplanned Work,customfield_12512,option,com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons,5,1,PRM,True,1,Low Usage
