"Name","Key","Type","Custom Type"
"What Stripe role do you need?","customfield_16408","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Defect Classification","customfield_16649","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Idea","customfield_20903","any","jira.polaris:connection"
"Phase","customfield_20904","any","jira.polaris:connection"
"Portfolio","customfield_20902","any","jira.polaris:connection"
"I have an issue with (Zoom)","customfield_15792","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"DG Group Type","customfield_16640","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Major incident","customfield_16644","string","com.atlassian.jira.modules.servicemanagement.major-incident-entity:major-incident-entity-field-cftype"
"Desktop Conclusion","customfield_17733","array","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes"
"PagerDuty Postmortem/COE","customfield_16648","string","com.atlassian.jira.plugin.system.customfieldtypes:url"
"PagerDuty Incident","customfield_16647","string","com.atlassian.jira.plugin.system.customfieldtypes:url"
"Vendor Company","customfield_16646","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Desktop Improvement","customfield_17735","number","com.atlassian.jira.plugin.system.customfieldtypes:float"
"Deployment Date","customfield_16645","datetime","com.atlassian.jira.plugin.system.customfieldtypes:datetime"
"Mobile Conclusion","customfield_17734","array","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes"
"Functional Team AD Group B","customfield_16871","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Functional Team AD Group A","customfield_16870","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"MFA Phone Type","customfield_16875","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Functional Team Privledged Users","customfield_16874","array","com.atlassian.jira.plugin.system.customfieldtypes:multiuserpicker"
"Functional Team Users","customfield_16873","array","com.atlassian.jira.plugin.system.customfieldtypes:multiuserpicker"
"Lead Source","customfield_15300","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Functional Team Change Type","customfield_16872","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"What ILINX product are you using?","customfield_15787","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"MFA Bypass Account Type","customfield_16869","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Sentiment","customfield_16864","array","com.atlassian.servicedesk.sentiment:sd-sentiment"
"Okta Support Type","customfield_16863","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Atlan Access","customfield_16862","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Business Unit","customfield_14200","array","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes"
"Goals","customfield_16868","array","com.atlassian.jira.plugin.system.customfieldtypes:goals"
"Number of Training IDs","customfield_16867","number","com.atlassian.jira.plugin.system.customfieldtypes:float"
"Training IDs Environment","customfield_16866","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"CSP Portal Support Type","customfield_16865","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
