"Name","Created","Updated"
"Copy of CUSTOMIZED Simplified Workflow (with Code Review, QA-Dev, QA, UAT, and Ready for Deployment)","2022-12-20T13:22:52.511-0600","2022-12-20T13:22:52.511-0600"
"Copy of Generic - 3-Step (1-Approve) JSM Service Request Fulfilment","2022-05-16T13:37:49.577-0500","2022-05-16T13:37:49.577-0500"
"Copy of Generic Change Management workflow for Jira Service Desk","2021-01-13T14:13:58.590-0600","2021-01-13T14:14:10.106-0600"
"Copy of Generic Incident Management workflow for Jira Service Desk v2","2023-06-07T12:45:55.507-0500","2023-06-07T12:45:55.507-0500"
"Copy of Generic Problem Management workflow for Jira Service Desk v2","2023-06-07T12:46:17.477-0500","2023-06-07T12:46:17.477-0500"
"Copy of Generic Service Request Fulfilment with 2-Step Approval workflow for Jira Service Desk","2022-05-16T13:38:15.367-0500","2022-05-16T13:38:15.367-0500"
"Copy of Generic Service Request Fulfilment with 3-Step Approval workflow for Jira Service Desk","2021-05-06T17:21:18.098-0500","2021-05-06T17:24:23.916-0500"
"Copy of Generic Service Request Fulfilment with Approvals workflow for Jira Service Desk","2022-05-16T13:39:10.749-0500","2022-05-16T13:39:10.749-0500"
"Copy of Generic Service Request Fulfilment workflow for Jira Service Desk","2022-05-19T11:25:47.307-0500","2022-05-19T11:25:47.307-0500"
"Copy of Generic Simplified Workflow","2021-09-08T16:03:31.202-0500","2021-09-08T16:03:31.202-0500"
"Copy of Generic Simplified Workflow (with Code Review and UAT)","2023-01-05T13:51:12.541-0600","2023-01-05T13:51:12.541-0600"
"Copy of Generic Simplified Workflow (with Code Review, QA-Dev, QA, UAT, and Ready for Deployment)","2025-09-24T12:20:01.903-0500","2025-09-24T12:20:01.903-0500"
"Copy of PPC: Default Request","2025-04-28T11:11:57.715-0500","2025-04-28T11:11:57.715-0500"
"Copy of Research / Spike Workflow","2022-04-05T13:51:01.250-0500","2022-04-05T13:51:01.250-0500"
"CPI: Default ESM workflow for Jira Service Management","2021-10-26T13:25:49.571-0500","2021-10-26T13:25:49.617-0500"
"CPI: Jira Service Management default workflow","2021-10-26T13:25:49.698-0500","2021-10-26T13:25:49.746-0500"
"CPI: Simple ESM workflow for Jira Service Management","2021-10-26T13:25:49.433-0500","2021-10-26T13:25:49.492-0500"
"Customized Bug Workflow (with Code Review, QA, UAT, and Ready for Deployment)","2022-06-27T15:32:20.553-0500","2022-12-20T13:24:36.900-0600"
"CUSTOMIZED Simplified Workflow (with Code Review, QA-Dev, QA, UAT, and Ready for Deployment)","2022-07-14T14:18:10.849-0500","2022-12-20T13:22:52.570-0600"
"DEPOT: Change Management workflow for Jira Service Management","2023-01-13T14:54:28.382-0600","2023-01-13T14:54:28.431-0600"
"DEPOT: Deploy Equip","2023-01-17T15:18:32.358-0600","2023-01-30T11:10:17.261-0600"
"DEPOT: Incident Management workflow for Jira Service Management","2023-01-13T14:54:28.495-0600","2023-01-13T14:54:28.549-0600"
"DEPOT: Jira Service Management default workflow","2023-01-13T14:54:28.736-0600","2023-01-13T14:54:28.783-0600"
"DEPOT: Post-Incident Review workflow for Jira Service Management","2023-01-13T14:54:28.917-0600","2023-01-13T14:54:28.959-0600"
"DEPOT: Problem Management workflow for Jira Service Management","2023-01-13T14:54:28.619-0600","2023-01-13T14:54:28.672-0600"
"DEPOT: Replace Equip","2023-02-06T13:46:37.357-0600","2023-02-06T13:47:35.296-0600"
"DEPOT: Return Equip","2023-02-06T13:40:11.927-0600","2023-02-06T13:45:20.422-0600"
"DEPOT: Service Request Fulfilment with Approvals workflow for Jira Service Management","2023-01-13T14:54:28.241-0600","2023-01-13T14:54:28.313-0600"
"DEPOT: Service Request Fulfilment workflow for Jira Service Management","2023-01-13T14:54:28.076-0600","2023-01-13T14:54:28.162-0600"
"DG: Generic workflow + Soda Statuses","2025-05-23T13:39:32.882-0500","2025-05-23T13:46:02.074-0500"
"DR System Request","2026-02-09T16:49:27.147-0600","2026-02-09T16:58:02.143-0600"
"Extra Simplified Tracking Workflow","2025-08-25T15:43:47.306-0500","2025-08-26T15:24:33.818-0500"
"FACILITIES: Vehicle Request Workflow","2025-04-30T11:51:18.490-0500","2025-04-30T12:28:27.006-0500"
"FACILITIES: Vehicle Request Workflow v2","2025-05-08T09:18:56.524-0500","2025-06-20T14:28:50.865-0500"
"FAC: Task Management Workflow","2026-02-13T16:51:02.005-0600","2026-02-13T16:51:02.496-0600"
"FCP & AUTHO - Bug Workflow","2023-02-28T12:38:51.043-0600","2023-02-28T12:48:29.934-0600"
"FCP & AUTHO - Epic Workflow","2023-02-28T12:37:10.917-0600","2023-02-28T12:37:10.917-0600"
"FCP & AUTHO - Other Issues Workflow","2023-02-28T12:39:56.418-0600","2023-02-28T12:57:02.578-0600"
"FCP & AUTHO - Story Workflow","2023-02-28T12:39:14.833-0600","2023-02-28T13:09:47.597-0600"
"FCP & AUTHO - Sub-Task Workflow","2023-02-28T12:38:12.033-0600","2023-02-28T13:11:49.160-0600"
"FCP & AUTHO - Task Workflow","2023-02-28T12:39:33.288-0600","2023-02-28T13:15:09.947-0600"
"FCP & AUTHO - Xray Types Workflow","2025-06-30T08:17:24.149-0500","2025-06-30T08:17:49.162-0500"
"[FixVersion Required] Generic Simplified Workflow (with Code Review, and QA)","2025-09-10T15:37:57.796-0500","2026-01-07T14:42:50.934-0600"
